	Prof.	Num.	Nome esame	Codice	CdL	Data	Ora	Aula	Modalità
Guiggiani Massimo	5973	Dinamica dei veicoli	271II	2WIM-LM	lunedì 24 giugno 2024	14:00 - 19:00	ING C42	Orale	
Garabini Manolo	12845	Controllo dei processi	713II	1WIM-LM	martedì 25 giugno 2024	08:30 - 13:30	ING B23	Orale	
Trevisan Dario	15861	Probabilità e processi stocastici	455AA	1WIM-LM	mercoledì 26 giugno 2024	08:30 - 19:00	ETR F6	Scritto	
Costanzi Riccardo/Salaris Paolo	29529	Controllo ed identificazione dei sistemi incerti	263II	2WIM-LM	mercoledì 26 giugno 2024	08:30 - 19:00	ING A12	Orale	
Buttazzo Giorgio Carlo	12851	Informatica e sistemi in tempo reale	274II	1WIM-LM	lunedì 1 luglio 2024	08:30 - 13:30	TeCIP	Scritto	
Bicchi Antonio	80295	Robotica	277II	2WIM-LM	lunedì 1 luglio 2024	14:00 - 19:00	ING A21	Orale	
Pollini Lorenzo	80135	Sistemi di guida e navigazione	278II	2WIM-LM	mercoledì 3 luglio 2024	08:30 - 13:30	ING A23	Orale	
